City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Dikson,RU,34.63,overcast clouds,73.51,80.55,
3,Longyearbyen,SJ,36.12,overcast clouds,78.22,15.64,"Radisson Blu Polar Hotel, Spitsbergen"
5,Ushuaia,AR,42.8,scattered clouds,-54.8,-68.3,Albatros Hotel
17,Lebu,CL,44.67,clear sky,-37.62,-73.65,Hostal Las Lilas
18,Zeya,RU,45.91,overcast clouds,53.75,127.27,Kapital Inn
24,Yellowknife,CA,50.0,broken clouds,62.46,-114.35,The Explorer Hotel
28,Saint-Augustin,CA,44.96,broken clouds,51.23,-58.65,
50,Jamestown,US,46.4,overcast clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
63,Tuktoyaktuk,CA,44.6,broken clouds,69.45,-133.04,End of The Road Ltd.
78,Chokurdakh,RU,32.05,overcast clouds,70.63,147.92,
82,Novaya Igirma,RU,35.15,broken clouds,57.13,103.91,Tayga
84,Punta Arenas,CL,46.4,broken clouds,-53.15,-70.92,Hotel Dreams Del Estrecho
89,Shamary,RU,33.31,broken clouds,57.34,58.22,
94,Yar-Sale,RU,30.07,clear sky,66.83,70.83,Yalemd
99,Albany,US,48.0,clear sky,42.6,-73.97,
100,Novobirilyussy,RU,40.95,overcast clouds,56.95,90.67,Gostinitsa
109,Teya,RU,43.88,overcast clouds,60.38,92.63,
110,Provideniya,RU,38.44,broken clouds,64.38,-173.3,
119,Kem,RU,42.44,few clouds,64.96,34.58,Kuzova
120,Ilulissat,GL,30.2,overcast clouds,69.22,-51.1,Hotel Arctic
123,Nome,US,48.99,light rain,64.5,-165.41,Dredge 7 Inn
125,Lavrentiya,RU,38.28,overcast clouds,65.58,-171.0,
129,Jiuquan,CN,41.76,clear sky,39.74,98.52,Jiuquan Hotel
132,Koygorodok,RU,30.15,clear sky,60.45,51.0,
133,Saint-Francois,FR,50.0,overcast clouds,46.42,3.91,Manoir Du Bonheur
138,Megion,RU,32.0,light shower snow,61.03,76.11,Komfort Hotel
142,Beringovskiy,RU,35.38,overcast clouds,63.05,179.32,Beringgorski
145,Barrow,US,33.8,fog,71.29,-156.79,King Eider Inn
150,Aras,ES,48.99,broken clouds,42.56,-2.36,Jardines de Viana Spa
153,Constitucion,CL,44.78,clear sky,-35.33,-72.42,Hotel Boutique Las Azucenas
156,Kargat,RU,44.13,overcast clouds,55.2,80.28,Kargat
159,Bjerkvik,NO,39.99,clear sky,68.56,17.52,Bjerkvik Hotel
160,Nanortalik,GL,35.33,overcast clouds,60.14,-45.24,"NTS Rooms, Nanortalik"
167,Havoysund,NO,46.4,clear sky,71.0,24.66,Arctic View Glamping & Restaurant
168,Sivaki,RU,41.4,overcast clouds,52.63,126.75,
174,Ust-Nera,RU,31.77,clear sky,64.57,143.2,Hotel Ust-Nera
180,Mar Del Plata,AR,44.6,broken clouds,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
182,Tasiilaq,GL,33.8,broken clouds,65.61,-37.64,The Red House
186,Quimper,FR,48.2,overcast clouds,48.0,-4.1,Hôtel Oceania Quimper
192,Comodoro Rivadavia,AR,50.0,clear sky,-45.87,-67.5,Austral Hotel
195,Thompson,CA,39.2,broken clouds,55.74,-97.86,Burntwood Hotel
196,Haines Junction,CA,42.12,clear sky,60.75,-137.51,Parkside Inn
198,Leh,IN,41.95,clear sky,34.17,77.58,Hotel Ladakh Greens
200,Yerbogachen,RU,34.93,overcast clouds,61.28,108.01,
202,Cherskiy,RU,34.48,few clouds,68.75,161.3,Gostinitsa
204,Qaqortoq,GL,33.8,overcast clouds,60.72,-46.03,Hotel Qaqortoq
212,Nuuk,GL,30.2,broken clouds,64.18,-51.72,Vandrehuset
214,Mandalgovi,MN,30.78,clear sky,45.76,106.27,В.Ганбат
223,Ostrovnoy,RU,40.62,broken clouds,68.05,39.51,
231,Vardo,NO,47.26,scattered clouds,70.37,31.11,Vardø Hotel AS
237,Carman,CA,39.99,clear sky,49.5,-98.0,"Bell Aura Bed, Breakfast & Bistro"
241,Leningradskiy,RU,31.1,overcast clouds,69.38,178.42,
242,Srednekolymsk,RU,36.54,broken clouds,67.45,153.68,
243,Gap,FR,46.0,overcast clouds,44.67,6.0,La Griotte
244,Vestmannaeyjar,IS,44.58,overcast clouds,63.44,-20.27,Glamping & Camping
245,Paso De Carrasco,UY,48.2,broken clouds,-34.86,-56.05,Hotel Sofitel Montevideo Casino Carrasco and Spa
257,Oga,IT,43.0,broken clouds,46.46,10.35,QC Terme Bagni di Bormio Bagni Nuovi
264,Zyryanskoye,RU,44.17,overcast clouds,56.83,86.63,
267,Namtsy,RU,37.4,clear sky,62.72,129.67,"""Эңсиэли Киин"""
269,Yaroslavl,RU,37.4,overcast clouds,57.63,39.87,ibis Yaroslavl Center
274,Narsaq,GL,33.8,overcast clouds,60.92,-46.05,Hotel Narsaq
282,Egvekinot,RU,31.71,overcast clouds,66.32,-179.17,
284,Sargatskoye,RU,37.15,overcast clouds,55.61,73.5,
288,Coihaique,CL,41.0,scattered clouds,-45.58,-72.07,Diego De Almagro Coyhaique
289,Pevek,RU,33.96,overcast clouds,69.7,170.31,Severnoye Zoloto
295,Staryy Nadym,RU,31.95,broken clouds,65.61,72.68,
303,Oberndorf,DE,50.0,overcast clouds,48.29,8.57,Gasthof Hotel Traube
304,Tandil,AR,31.93,clear sky,-37.32,-59.13,HOSTAL DE LA SIERRA TANDIL
305,Anadyr,RU,33.8,broken clouds,64.75,177.48,"Гостиница ""Анадырь"""
316,Bethel,US,48.0,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
318,Mrakovo,RU,44.4,scattered clouds,52.72,56.62,Putnik
321,Zhangye,CN,49.48,clear sky,38.93,100.45,Zhangye Lvzhou Holiday Inn
326,Villingen-Schwenningen,DE,46.99,overcast clouds,48.07,8.45,Romantik Hotel Rindenmühle
330,Bilecik,TR,48.2,scattered clouds,40.0,30.17,Namlı Osmanlı Konagi
337,Nyurba,RU,34.25,overcast clouds,63.28,118.33,Gostinitsa Alrosa
338,Barybino,RU,44.6,broken clouds,55.27,37.89,An oasis in the woods
341,Tromso,NO,32.0,clear sky,69.65,18.96,"Radisson Blu Hotel, Tromsø"
354,Chapais,CA,33.8,few clouds,49.78,-74.85,Hôtel Opémiska
360,Lasa,IT,50.0,overcast clouds,46.62,10.7,Pension Feldgärtenhof
367,Kuytun,RU,34.84,broken clouds,54.34,101.5,Gostinitsa Tsentral'naya
383,Alekseyevsk,RU,35.85,broken clouds,57.84,108.35,
389,Starosubkhangulovo,RU,46.62,broken clouds,53.1,57.44,"Gostinichnyy Kompleks ""Yulbars"""
397,Port-Cartier,CA,46.0,broken clouds,50.03,-66.87,Le Q'Artier
404,Neryungri,RU,31.39,overcast clouds,56.67,124.65,Pyat' Zvozd
406,Asau,RO,50.0,broken clouds,46.43,26.4,Casa Mika Ciobanus
407,Baruun-Urt,MN,35.64,clear sky,46.68,113.28,Ахмадын амралт сувилал
408,Zyryanka,RU,38.88,clear sky,65.75,150.85,Zyryanka
409,Ancud,CL,44.6,clear sky,-41.87,-73.82,Hotel Arena Gruesa
423,Mehamn,NO,44.92,clear sky,71.04,27.85,Mehamn Arctic Hotel AS
425,Aksarka,RU,31.59,broken clouds,66.56,67.8,
432,Pavlogradka,RU,42.53,broken clouds,54.2,73.56,
434,Chifeng,CN,47.7,clear sky,42.27,118.96,Junyu Tiancheng Hotel
442,Lota,CL,50.0,broken clouds,-37.08,-73.17,Apart Hotel Kuñul
449,Vuktyl,RU,30.61,clear sky,63.86,57.31,Mini-Hotel Lokomotiv
454,Solnechnyy,RU,48.97,overcast clouds,50.72,136.63,Hotel complex Pastoral
455,Ust-Kulom,RU,30.06,clear sky,61.69,53.69,
456,Rocha,UY,45.81,scattered clouds,-34.48,-54.33,Beleza Pura B&B
458,Douglas,US,48.99,clear sky,41.3,-96.17,Hilton Garden Inn Omaha West
461,Porosozero,RU,45.64,scattered clouds,62.72,32.73,Porosozero
466,Berdigestyakh,RU,34.16,clear sky,62.1,126.7,
467,Ossora,RU,48.04,few clouds,59.24,163.07,
469,Arti,RU,34.65,scattered clouds,56.42,58.53,
481,Dandong,CN,48.36,overcast clouds,40.13,124.39,Yiranju Farmstay
482,Monroe,US,50.0,overcast clouds,43.15,-77.68,Staybridge Suites Rochester University
483,Sazonovo,RU,49.48,overcast clouds,59.09,35.23,Hotel Golden Scorpion
488,Muravlenko,RU,30.74,overcast clouds,63.79,74.52,Hostel Rus Muravlenko
490,Kosh-Agach,RU,34.66,clear sky,50.0,88.67,Fermerskiy Dom v Kosh-Agache
493,Kyzyl-Suu,KG,46.9,broken clouds,42.34,78.0,Gostinitsa Nur-Ordo
502,Arman,RU,49.15,overcast clouds,59.7,150.17,
503,Flin Flon,CA,38.95,overcast clouds,54.77,-101.86,Victoria Inn Flin Flon
505,De Aar,ZA,49.62,clear sky,-30.65,24.01,Nyibiba Guesthouse
506,Iqaluit,CA,32.0,overcast clouds,63.75,-68.51,Frobisher Inn
511,Kharp,RU,31.51,scattered clouds,66.8,65.81,"Hotel ""Sob"""
514,Iskateley,RU,32.49,overcast clouds,67.68,53.15,Hostel Agat
519,Chillicothe,US,50.0,broken clouds,39.33,-82.98,Holiday Inn Express Chillicothe East
524,Atasu,KZ,45.27,scattered clouds,48.68,71.64,Dostyk
527,Strezhevoy,RU,32.0,light shower snow,60.73,77.59,Sibiryachka
